Phil Groman,NYU ITP,Rehuddle,rehuddle.com
Jeremiah Malina (and YD),NYU,Diabetes Machine Learning,#
Alex Feldman,NYU,Crowds Unite,crowdsunite.com
Matt Ruzicka,NYU,7th Grade Poetry,http://7thgradepoetry.org/
Jenny Liang,NYU,First webapp,#
Vivek Patel,NYU,Hands-free reading,#
Misha Ponizil,NYU,Amplifyre,amplifyre.com
Sarah Scott,NYU Poly,Wastewater Treatment,#
Omer Shapira,NYU ITP,Dome Kaleidoscope,http://i.imgur.com/hcVm2.png
Yair Aviner,Rutgers,Hublished,http://hublished.com
Josh and Abhi,NYU,Something,#
Zach Cimafonte,NYU,Browser Exploits,#
